id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,CIF1_at,CIF2_at,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rb_MCer_CIF1_at,rb_MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,mean_bias_CIF1_at,mean_bias_CIF2_at
33,1,.00031934999,-.0030109468,1.0053397,.70378244,.00019533932,-.0031056195,1.001317,.70118088,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.15064439,.007086589,.0021344195,-.00020076658,.14850998,.0072873556,.0004610419,.000045236629,.31044507,.62075508,1.4372231,-2.7549989,,,.949,.93599999,.70270145,.0027014408,1,.0023334478,.0011125533
33,2,.00064559845,-.0058172354,1.0061554,.70494401,.00048948824,-.0059230179,1.002371,.70236665,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.20986234,.013768088,.0029208667,-.00020927949,.20694147,.013977367,.00059579022,.000084753454,.28790277,.6063621,1.4114457,-1.4972739,,,.94700003,.93699998,.70270145,.0027014408,1,.0023334478,.0011125533
33,3,.00095143978,-.0085556349,1.0068884,.70616978,.00077699125,-.0086128153,1.0032459,.7035796,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.24383295,.020368584,.0036806266,-.000074682423,.24015231,.020443266,.0006624891,.00012075682,.27586204,.5906924,1.5326217,-.36531553,,,.94,.94,.70270145,.0027014408,1,.0023334478,.0011125533
33,4,.0012130897,-.011287154,1.007522,.70746517,.0010361671,-.011243822,1.0039842,.70483267,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.26411828,.027039072,.0030142188,.00018984883,.26110408,.026849223,.00070115336,.00015415181,.26853406,.57413882,1.1544127,.7070924,,,.94800001,.94099998,.70270145,.0027014408,1,.0023334478,.0011125533
33,5,.0014389018,-.014045665,1.0080774,.70883548,.0012651086,-.013856828,1.0046177,.70613652,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.27740085,.033869389,.0021661024,.00057225669,.27523476,.033297133,.00072547421,.00018533898,.26358378,.55662149,.78700179,1.7186365,,,.94700003,.94,.70270145,.0027014408,1,.0023334478,.0011125533
33,6,.0016398885,-.016848326,1.0085777,.71028668,.0014679432,-.016480114,1.0051721,.70750105,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.28692129,.040912051,.0016379768,.0010496882,.28528333,.039862361,.00074217864,.0002144529,.26015493,.53798348,.57415795,2.6332817,,,.94400001,.93300003,.70270145,.0027014408,1,.0023334478,.0011125533
33,7,.0018271308,-.019704174,1.0090514,.7118246,.0016501248,-.019135632,1.0056683,.70893687,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.29423478,.048202287,.0014672079,.0015940021,.29276758,.046608284,.00075491989,.00024151651,.25785637,.51818365,.50115108,3.4199975,,,.94300002,.93000001,.70270145,.0027014408,1,.0023334478,.0011125533
33,8,.0020092772,-.022617867,1.0095193,.71345407,.0018169582,-.02184188,1.0061226,.71045548,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.30020487,.055766523,.0016238752,.0021730906,.298581,.053593431,.00076566299,.00026650386,.2564339,.49726963,.54386425,4.0547705,,,.94599998,.92799997,.70270145,.0027014408,1,.0023334478,.0011125533
33,9,.0021889652,-.025590958,1.0099845,.71517944,.001973182,-.024615359,1.0065489,.71206993,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.30531746,.063625209,.0020450877,.0027498207,.30327237,.06087539,.00077534135,.00028936824,.25565842,.47534519,.67434031,4.5171304,,,.94700003,.92400002,.70270145,.0027014408,1,.0023334478,.0011125533
33,10,.0023720886,-.028622307,1.0104623,.71700686,.0021227002,-.027471207,1.0069581,.71379483,.69999999,60,1,0,1,PH_sex_other,Weibull,Attained,2000,1000,1000,10,.30983359,.071794659,.0026440972,.0032815537,.30718949,.068513103,.00078432297,.0003100886,.25532219,.4525975,.86073816,4.7896733,,,.94499999,.92299998,.70270145,.0027014408,1,.0023334478,.0011125533
