female,scenario,givenage,model,year,hr_gender_at,hr_gender_true_at,id,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,bias_hr_gender_at,simulation
0,1,60,0,1,.70529085,.69999999,1,.000062897547,-.0030059833,1.0029719,.70649928,.00019533932,-.0031056195,1.001317,.70118088,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.002003009,-.00020568592,.14831464,.010392975,.0004372579,.000058885606,1.3505133,1.979086,,,.95300001,.926,.005290878,nick
0,1,60,0,2,.70529085,.69999999,1,.00031441622,-.0058044954,1.0037831,.70771247,.00048948824,-.0059230179,1.002371,.70236665,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0027456642,-.00015063469,.20645198,.019900385,.00056365674,.00010987396,1.3299288,.75694358,,,.94800001,.92799997,.005290878,nick
0,1,60,0,3,.70529085,.69999999,1,.00059197401,-.0085318796,1.0045229,.70896769,.00077699125,-.0086128153,1.0032459,.7035796,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0035319945,.000094110896,.23937532,.029056082,.00062423589,.00015582907,1.4755049,.32389396,,,.94800001,.92900002,.005290878,nick
0,1,60,0,4,.70529085,.69999999,1,.00083297759,-.011248522,1.0051507,.71027714,.0010361671,-.011243822,1.0039842,.70483267,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.002877359,.00050697895,.26006791,.038093045,.00066035136,.00019786149,1.1063876,1.3308964,,,.94999999,.92799997,.005290878,nick
0,1,60,0,5,.70529085,.69999999,1,.0010367861,-.013987482,1.0056877,.71165532,.0012651086,-.013856828,1.0046177,.70613652,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0020248499,.0010682269,.27396965,.047153961,.00068338821,.00023646506,.73907822,2.2654023,,,.94800001,.92799997,.005290878,nick
0,1,60,0,6,.70529085,.69999999,1,.0012265649,-.016765261,1.0061989,.71311069,.0014679432,-.016480114,1.0051721,.70750105,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0014903116,.001742741,.28381538,.056342475,.00069933984,.00027181185,.52509898,3.0931211,,,.94800001,.92000002,.005290878,nick
0,1,60,0,7,.70529085,.69999999,1,.0014049658,-.019590423,1.0066842,.71464717,.0016501248,-.019135632,1.0056683,.70893687,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0013023791,.0024878809,.29111746,.065743916,.00071156252,.0003039281,.44737238,3.7841995,,,.95300001,.91900003,.005290878,nick
0,1,60,0,8,.70529085,.69999999,1,.0015747178,-.022467174,1.0071473,.71626943,.0018169582,-.02184188,1.0061226,.71045548,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0014281899,.0032562371,.29676405,.075435311,.00072196295,.0003327895,.48125437,4.3165956,,,.94999999,.92000002,.005290878,nick
0,1,60,0,9,.70529085,.69999999,1,.0017445632,-.025396576,1.0076113,.71798372,.001973182,-.024615359,1.0065489,.71206993,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.001813306,.0039945939,.30129918,.085490748,.00073140929,.00035838271,.60182905,4.672545,,,.95300001,.91500002,.005290878,nick
0,1,60,0,10,.70529085,.69999999,1,.0019181519,-.028377272,1.0080854,.71979475,.0021227002,-.027471207,1.0069581,.71379483,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0023710567,.0046428111,.30506679,.09598431,.00074017892,.00038074402,.77722543,4.8370523,,,.95200002,.91600001,.005290878,nick
