id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,average_bias_CIF2,average_bias_CIF1
1,1,-.0073864916,-.0020006716,.95590043,.7088713,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0018788059,-.0015683526,.15493172,.0064102733,.00080038822,.000055619174,1.212667,24.466236,,,.95899999,.917,.70427001,.0042700414,1,nick,-.0056714583,-.0040534665
6,1,-.006916326,-.0083201071,.95851225,.71740741,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,1,1,0,PH_sex_other,Weibull,Approach b- Linear,2000,1000,1000,10,-.0028832816,.014576361,.15493172,.0064102733,.00079650735,.0007086916,1.8610015,227.39063,-.48487896,1174.1858,.95999998,.22,.71014106,.010141052,1,nick,.076911345,-.010898591
11,1,-.0074054259,-.0017764831,.9557898,.70951641,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,1,2,0,PH_sex_other,Weibull,Approach c- Splines,2000,1000,1000,10,-.0018413591,-.0020661675,.15493172,.0064102733,.00080051582,.000053777239,1.1884971,32.232128,.015940502,-3.3116865,.95999998,.83899999,.70493966,.0049397023,1,nick,-.0034078201,-.003997887
16,1,-.0074386867,-.002698662,.95539141,.70872355,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,1,3,0,PH_sex_other,Weibull,Approach d- Splines/Int,2000,824,1000,10,-.0027471741,.00020027869,.15493172,.0064102733,.00087792636,.00020309446,1.7731514,3.1243393,-.43172637,231.46461,.79100001,.77899998,.70360798,.0036080044,1,nick,.0012597361,-.006039571
21,1,-.0072464203,-.0033993479,.95693278,.58767474,-.009976632,-.0044558006,.93848056,.5100612,.50667316,50,2,0,0,Non_PH_sex_other,Weibull,Approach a- Attained,2000,957,957,10,.00093278394,-.0013625162,.15219375,.0046388065,.00080840342,.00006136686,.61289239,29.372129,,,.91900003,.889,.57655054,.069877408,1,nick,-.0055252966,.0021585643
26,1,-.0069454941,-.0077853827,.95832014,.75931913,-.009976632,-.0044558006,.93848056,.5100612,.50667316,50,2,1,0,Non_PH_sex_other,Weibull,Approach b- Linear,2000,1000,957,10,-.00024973816,.017653633,.15219375,.0046388065,.00079441798,.00082165661,.16409226,380.56412,.45347351,1268.6755,.958,.2,.75462037,.24794719,1,nick,.093849681,-.006011622
31,1,-.0074278428,-.0016029056,.95566571,.73731011,-.009976632,-.0044558006,.93848056,.5100612,.50667316,50,2,2,0,Non_PH_sex_other,Weibull,Approach c- Splines,2000,1000,957,10,.0008828399,-.00059940794,.15219375,.0046388065,.00079837849,.000051398554,.58007634,12.921598,.95426971,-14.382794,.958,.94599998,.73662853,.22995538,1,nick,.0043983762,.0016335394
36,1,-.0074843126,-.00214158,.95513296,.76555115,-.009976632,-.0044558006,.93848056,.5100612,.50667316,50,2,3,0,Non_PH_sex_other,Weibull,Approach d- Splines/Int,2000,783,957,10,-.00025468125,.0017007201,.15219375,.0046388065,.00090580323,.00021092541,.16734014,36.66288,1.3516008,210.89944,.74800003,.73000002,.77023757,.26356444,1,nick,.0094537959,-.00082589517
41,1,-.0070377551,-.002028489,.95845401,.70732784,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,3,0,1,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0023533362,-.0015515375,.15493172,.0064102733,.00082407851,.000058034417,1.5189506,24.203922,,,.95300001,.91799998,.70290041,.0029004074,1,nick,-.0056153899,-.0049240114
46,1,-.0066165775,-.0077854767,.96081668,.71584153,-.0072386563,-.0026843338,.95536387,.70484334,.69999999,50,3,1,1,PH_sex_other,Weibull,Approach b- Linear,2000,1000,1000,10,-.0032680186,.01328891,.15493172,.0064102733,.00081874873,.00061098661,2.1093283,207.30644,-.64675987,952.80048,.95499998,.19,.70897835,.0089783883,1,nick,.073208898,-.011357366
