id,year,CIF1_diff_at,CIF2_diff_at,CIF1_ratio_at,CIF2_ratio_at,CIF1_diff_true_at,CIF2_diff_true_at,CIF1_ratio_true_at,CIF2_ratio_true_at,hr_gender_true_at,givenage,scenario,model,independence,prop_sex_other,base_function,model_lab,obs,convergence_t1t1,convergence_t1t2,sdage,bias_CIF1_at,bias_CIF2_at,CIF1_true_at,CIF2_true_at,MCer_CIF1_at,MCer_CIF2_at,rel_bias_CIF1_at,rel_bias_CIF2_at,Rel_prec_CIF1_at,Rel_prec_CIF2_at,Coverage_CIF1_at,Coverage_CIF2_at,hr_gender_at,bias_hr_gender_at,female,simulation,mean_bias_CIF1_at,mean_bias_CIF2_at
3,1,-.0067493655,-.0051197787,.95686209,.70980084,-.0064293593,-.0048848055,.95578331,.7053135,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.0003538382,.00069239765,.13897637,.011691473,.00040642789,.000042205578,.25460315,5.9222445,,,.949,.921,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,2,-.0086692264,-.0097945724,.96006721,.71368295,-.0082862675,-.0094306804,.95899558,.70909768,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.00045841461,.0011550679,.19379595,.02298804,.00053221203,.00008194687,.23654498,5.0246472,,,.94499999,.93599999,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,3,-.0094630886,-.014272153,.9623602,.71714634,-.0090473592,-.013896264,.96132517,.71252674,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.00089484412,.0013420384,.22488667,.034443062,.00059695746,.00012190555,.3979089,3.8963971,,,.94400001,.94300002,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,4,-.0097674774,-.018662026,.96407479,.72041738,-.0093545318,-.018388942,.96313709,.71585262,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,.00012041718,.0012344668,.24441099,.046327271,.00063511467,.00016390606,.049268316,2.6646655,,,.94300002,.949,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,5,-.0098677566,-.023046549,.96541172,.72364181,-.0094465315,-.022967558,.96461177,.71920836,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.00077744195,.0008711241,.25749341,.058828171,.00065864495,.00020873403,.30192694,1.4807941,,,.94,.95899999,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,6,-.0098656062,-.027501237,.96655035,.72693986,-.0094284713,-.027665645,.96585721,.72268403,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0013345454,.00034681705,.26671982,.072096527,.00067450793,.00025524996,.50035477,.48104542,,,.93800002,.95599997,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,7,-.0098042237,-.032088716,.96757942,.73040915,-.0093505085,-.032499567,.96694458,.72635084,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0015389768,-.00022377209,.27352303,.086264051,.00068619906,.00030127584,.56264979,.25940365,,,.94,.95700002,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,8,-.0097025502,-.036851734,.96855509,.73413628,-.0092374086,-.037471317,.9679237,.73027092,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0014337844,-.00072908233,.27874497,.10145075,.0006957333,.00034480152,.5143714,.71865642,,,.93800002,.95099998,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,9,-.0095706824,-.041810278,.96950531,.73820668,-.0091015697,-.042568833,.96883047,.73450279,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.0010818951,-.0010647171,.28290072,.11776745,.00070430082,.000384746,.38242924,.90408432,,,.93900001,.94999999,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
3,10,-.0094086882,-.046959877,.97046423,.74270016,-.0089488924,-.047764987,.96969187,.73910403,.69999999,70,1,0,0,PH_sex_other,Weibull,Approach a- Attained,2000,1000,1000,10,-.00057024899,-.0011365899,.28631508,.13531561,.00071216683,.00042143377,.19916834,.83995473,,,.94300002,.95099998,.70427001,.0042700414,1,nick,-.00049093785,.00024877506
